book,lang,page,content,len,tokens_amount
bio.pdf,en,315,"� Growth medium � Maintenance medium (no serum or growth factors) containing 37 KBq/mL (1.0 μCi/mL) of [3H]thymidine, 74 GBq/mmol (2Ci/mmol) � D-PBSA � Trypsin, 0.25% � Multiwell plates, 24-well, containing coverslips 13 mm in diameter � Petri dishes, 9 cm (bacteriological grade, 1 per coverslip) 1. Trypsinize the cells and seed 1 × 105 cells/mL into a 24-well plate, 1 mL/well, each well containing a 13-mm-diameter coverslip. 2. Incubate the cells in a humidiﬁed CO2 incubator for 1 to 3 days. 3. Transfer the coverslips to 9-cm bacteriological grade Petri dishes, each containing 20 mL of medium, and place the dishes in the CO2 incubator. 4. Continue culturing, changing the medium every 2 days once the cells become conﬂuent on the coverslips. 5. Trypsinize and count the cells from two coverslips every 3 to 4 days. As the cells become denser on the coverslip, it may be necessary to add 200 to 500 units/mL of crude collagenase to the trypsin in order to achieve complete dissociation of the cells for counting. 6. When cell growth ceases (i.e., two sequential counts show no signiﬁcant increase), add 2.0 mL 37 KBq/mL (1.0 μCi/mL) of [3H]thymidine, 74 GBq/mmol (2 Ci/mmol), and incubate the cells for a further 24 h. ",1227,1009
bio.pdf,en,315,"Note. It is necessary to trypsinize high-density cultures for autoradiography because of their thickness and the weak penetration of β-emission from 3H. Labeled cells in the underlying layers will not be detected by the radiosensitive emulsion, due to the absorption of the β-particles by the overlying cells (the mean path length of β-particles in water is approximately 1 μm). If the cells remain as a monolayer at saturation density, this step may be omitted, and autoradiographs may be prepared by mounting the coverslips, cells uppermost, on a microscope slide. ",567,748
bio.pdf,en,315,"Variations. Cells in DNA synthesis may also be labeled with bromodeoxyuridine (BUdR) and subsequently detected by antibody to BUdR-labeled DNA (Dako). Human cycling cells may be labeled with the Ki67 monoclonal antibody (Dako) against DNA polymerase, or with anti-PCNA against proliferating cell nuclear antigen (PCNA). Although there is generally good agreement between [3H]thymidine and BUdR labeling, Ki67 and PCNA will label more cells, as the antigen is present throughout the cycle and is not restricted to the S-phase. Growth of cells at high density in nonlimiting medium can be achieved by growing the cells in a ﬁlter well, choosing a ﬁlter diameter substantially below that of the dish (e.g., the Corning 8-mm ﬁlter in a 24-well plate), and counting the number of cells in plateau, performing an autoradiograph or immunostaining with Ki67 or anti-PCNA. ",864,834
bio.pdf,en,94,Petri Dishes and Multiwell Plates. Petri dishes and multiwell plates are particularly prone to contamination because of the following factors: (1) The larger surface area exposed when the dish is open. (2) The risk of touching the rim of the dish when handling an open dish. (3) The risk of carrying contamination from the work surface to the plate via the lid if the lid is laid down. (4) Medium ﬁlling the gap between the lid and the dish due to capillarity if the dish is tilted or shaken in transit to the incubator. (5) The higher risk of contamination in the humid atmosphere of a CO2 incubator. ,602,760
bio.pdf,en,94,"Fig. 5.11. Boxed Dishes. A transparent box, such as a sandwich box or cake box, helps protect unsealed dishes and plates, and ﬂasks with slackened caps, from contamination in a humid incubator. This type of container should also be used for materials that may be biohazardous, to help contain spillage in the event of an accident. (Material known to be biohazardous would need a sealed container and a separate incubator.) (b) If medium still lodges in this space, discard the lid, blot any medium carefully from the outside of the rim with a sterile tissue dampened with 70% alcohol, and replace the lid with a fresh one. (Make sure that the labeling is on the base!) (3) Enclose dishes and plates in a transparent plastic box for incubation, and swab the box with alcohol when it is retrieved from the incubator (Fig. 5.11; see Section 5.7.7). ",846,830
bio.pdf,en,94,"1. Place dish or plate on one side of work area. 2. Position medium bottle and slacken the cap. 3. Bring dish to center of work area. 4. Remove bottle cap and ﬁll pipette from bottle. 5. Remove lid from dish. 6. Add medium to dish, directing the stream gently low down on the side of the base of the dish. 7. Replace lid. 8. Return dish to side of hood, taking care not to let the medium enter the capillary space between the lid and the base. 9. Discard pipette. 10. Tighten cap on medium bottle. 11. Remove from the work surface all solutions and materials no longer required, and swab down the work surface. ",611,782
bio.pdf,en,492,"Observations and Record (1) Look for differences in growth pattern, cell density, and morphology in related cultures (Table 28.2). Are there differences from archival photographs that suggest deterioration, alteration of the cells (transformation, heterogeneity, misidentiﬁcation or cross-contamination)? (2) Assess health status of cells. (3) Is there any sign of contamination? (4) Are cells ready for feeding (see Section 12.3.2) or passage (see Section 12.4.1)? (5) Make a numerical estimate of cell density by calculating the area of the 20× objective ﬁeld and counting the number of cells per ﬁeld. This will be easiest if a digital camera and monitor are used where the screen can be overlaid with cling ﬁlm and each cell ticked with a ﬁne felt-tipped marker. Practice will make this ‘‘guesstimate’’ of cell density easier. It becomes critically important if you are unable to carry out a cell count by other means at this stage (see Section 12.4.3). (6) Try to identify and count mitotic cells in these high- power ﬁelds. ",1030,873
hist.pdf,en,370,"Zimbabwe, Kilwa Kisiwani became one of the  most prosperous of the Swahili city-states. From 1000 to 1500 CE, Swahili city-states were  wealthy urban areas connected both to the African interior and the larger Indian Ocean World.  Dozens of Swahili city-states running down the East African coast from Mogadishu to Sofala, and  including islands off the coast, were commercial centers, tied together by a shared identity, not an  overarching political structure. In addition to Islam and claims to Persian ancestry, Swahili identity  also became associated with Indian Ocean trade, an urban style, and a shared language (Swahili). ",631,765
hist.pdf,en,248,"Republic as well as the lengths to which some Roman politicians were willing to go to get power  and hold on to it. Furthermore, it demonstrated one dangerous side effect of Marius’ military  reforms: before Marius, Roman farmer-soldiers did not feel a personal affinity for their generals.  After Marius’ reforms, however, because soldiers were paid by their generals, their loyalty was  to their generals, as much or more than to the Roman state. Finally, Marius’ incredible political  success—election to a record-setting and law-breaking seven consulships over the course of his  life—showed that military ability had somewhat leveled the playing field between old patrician  families such as Sulla’s—that had dominated the consulship for centuries—and the newcomers  to Roman politics. This challenge by the newcomers to the old Roman political families was an  especially bitter pill to swallow for some.  ",912,807
hist.pdf,en,403,"The earliest recognizable civilizations in the Americas were in Mesoamerica and began during the  Archaic period, ten thousand years ago. Farmers in Mesoamerica began to cultivate crops such  as corn, squash, beans, chilies, manioc, and sweet potatoes. During Mesoamerica’s more recent  Formative Period, the rise of the Olmec Civilization occurred. They would be followed by several  others, most notably the Maya, and further to the north the Aztec Empire that was at its height  when the Spanish arrived in 1519.  ",517,740
hist.pdf,en,86,"Prior to this state formation, chiefs (rajas) and their assemblies, with the assistance of priests,  saw to the well-being of their clans. This clan-based method of governing persisted and evolved  into oligarchies. As the Aryans colonized new territory, clans or confederacies of clan would claim  it as their possession, and name it after the ruling family. The heads of clan families or chiefs  of each clan in a confederacy then jointly governed the territory by convening periodically in  assembly halls. A smaller group of leaders managed the deliberations and voting, and carried out  the tasks of day-to-day governing. These kinds of states have been called oligarchies because the  heads of the most powerful families governed. They have also been called republics because these  elites governed by assembly.  ",819,790
hist.pdf,en,72,"Gupta Empire, and during the following seven centuries, the pattern of fragmentation intensified, as  numerous regional kingdoms large and small frequently turned over. Confronting such an unstable  and fluid political scene, medieval kings granted land to loyal subordinate rulers and high officers  of their courts. The resulting political and economic pattern is referred to as Indian feudalism. Also,  kings put their greatness on display by waging war and building magnificent Hindu temples in their  capital cities. And, during the medieval period, a new political and religious force entered the Indian  scene, when Muslim Arab and Turkic traders and conquerors arrived on the subcontinent.  ",699,753
hist.pdf,en,130,"His young son took the throne, but was placed under the regency of Wu’s capable brother, the Duke  of Zhou. Now, the Zhou royal court was faced with the task of governing newly conquered territory,  including the former lands of the Shang Dynasty. The king and his regent did so by implementing  three policies. First, they established a secondary capital farther east at Luoyang [low-yawng], closer  to the North China Plain. Second, they issued proclamations explaining to conquered peoples why  they should accept Zhou rule. According to the Duke of Zhou, Heaven had decreed that Shang  kings must fall and Zhou rulers should replace them. The Shang dynasty had begun with wise and  benevolent rulers, but later kings were cruel and incompetent, and failed to see to the well-being  of their subjects. Thus, a dynasty once sanctioned by Heaven had lost this sanction; now, Heaven  had called upon Zhou rulers to overthrow the Shang dynasty and initiate a new era of just rule. This  political theory, which is known as the Mandate of Heaven, would also be used by founders of  later dynasties to justify their actions, as well as by theorists to explain the rise and fall of dynasties. ",1189,882
hist.pdf,en,25,"During the Paleolithic Era,  and until recently in fact,  a child would be breastfed  until he or she was three or  four years old, a necessity  preventing  mothers  tasks that “don’t require  rapt concentration, are rel- atively dull and repetitive;  they are easily interrupt- ed, don’t place the child in  danger, and don’t require  the participant to stray far  from home.”22 Spinning,  weaving, and sewing were  some of these tasks. Also, the essential tasks of preparing food and clothing could be accomplished  with a nursing toddler nearby. These tasks that may be consigned as “women’s work” today are  among the most important tasks (and very time consuming ones before the industrial revolution)  that a human could perform. In fact, they were so time consuming that women would spend most  of their day on them, often being assisted by men.  ",854,814
math.pdf,en,15,"The third edition of An Introduction to Linear Algebra for Science and Engineering is meant to engage students and pique their curiosity, as well as provide a template for instructors. I am constantly fascinated by the countless potential applications of linear algebra in everyday life, and I intend for this textbook to be approachable to all. I will not pretend that mathematical prerequisites and previous knowledge are not required. However, the approach taken in this textbook encourages the reader to explore a variety of concepts and provides exposure to an extensive amount of mathematical knowledge. Linear algebra is an exciting discipline. My hope is that those reading this book will share in my enthusiasm. ",721,747
math.pdf,en,175,"Solution: Taking dot products of the rows of the rst matrix with columns of the second matrix gives our work above that we want the i j-th entry of AB to be the dot product of the i-th row of A and the j-th column of B. However, for this to be dened, �aT number of entries as �b j. Hence, the number of entries in the rows of the matrix A (that is, the number of columns of A) must be equal to the number of entries in the columns of B (that is, the number of rows of B). We can now make a precise denition. ",511,761
math.pdf,en,330,"Proof: If the i-th row of A contains only zeros, then expanding the determinant along the i-th row of A gives Theorem 5.1.3 If A ∈ Mn×n(R) is an upper or lower triangular matrix, then the determinant of A is the product of the diagonal entries of A. That is, and vice versa. That is, the columns of AT are identical to the rows of A. Thus, if we expand the determinant of AT along its rst column, we will get the same cofactors and coeﬃcients we would get by expanding the determinant of A along its rst row. We get the following theorem. ",541,763
