book,lang,page,content,len,tokens_amount,summary,summary_len
bio.pdf,en,315,"� Growth medium � Maintenance medium (no serum or growth factors) containing 37 KBq/mL (1.0 μCi/mL) of [3H]thymidine, 74 GBq/mmol (2Ci/mmol) � D-PBSA � Trypsin, 0.25% � Multiwell plates, 24-well, containing coverslips 13 mm in diameter � Petri dishes, 9 cm (bacteriological grade, 1 per coverslip) 1. Trypsinize the cells and seed 1 × 105 cells/mL into a 24-well plate, 1 mL/well, each well containing a 13-mm-diameter coverslip. 2. Incubate the cells in a humidiﬁed CO2 incubator for 1 to 3 days. 3. Transfer the coverslips to 9-cm bacteriological grade Petri dishes, each containing 20 mL of medium, and place the dishes in the CO2 incubator. 4. Continue culturing, changing the medium every 2 days once the cells become conﬂuent on the coverslips. 5. Trypsinize and count the cells from two coverslips every 3 to 4 days. As the cells become denser on the coverslip, it may be necessary to add 200 to 500 units/mL of crude collagenase to the trypsin in order to achieve complete dissociation of the cells for counting. 6. When cell growth ceases (i.e., two sequential counts show no signiﬁcant increase), add 2.0 mL 37 KBq/mL (1.0 μCi/mL) of [3H]thymidine, 74 GBq/mmol (2 Ci/mmol), and incubate the cells for a further 24 h. ",1227,1009,"The given instructions outline the procedure for culturing cells in a laboratory setting. The steps involve trypsinizing the cells and seeding them into a 24-well plate with coverslips. The cells are then incubated in a CO2 incubator for 1 to 3 days. After that, the coverslips are transferred to Petri dishes with medium and continue culturing with regular medium changes. Cell counting is performed every 3 to 4 days, and when cell growth ceases, a solution of [3H]thymidine is added and incubated for 24 hours.",513.0
bio.pdf,en,315,"Note. It is necessary to trypsinize high-density cultures for autoradiography because of their thickness and the weak penetration of β-emission from 3H. Labeled cells in the underlying layers will not be detected by the radiosensitive emulsion, due to the absorption of the β-particles by the overlying cells (the mean path length of β-particles in water is approximately 1 μm). If the cells remain as a monolayer at saturation density, this step may be omitted, and autoradiographs may be prepared by mounting the coverslips, cells uppermost, on a microscope slide. ",567,748,"High-density cultures need to be trypsinized before autoradiography due to their thickness and the limited penetration of β-emission from 3H. The overlying cells absorb the β-particles, making it difficult to detect labeled cells in the underlying layers. If the cells are in a monolayer at saturation density, trypsinization can be skipped, and autoradiographs can be prepared by mounting the coverslips, with cells facing upwards, on a microscope slide.",455.0
bio.pdf,en,315,"Variations. Cells in DNA synthesis may also be labeled with bromodeoxyuridine (BUdR) and subsequently detected by antibody to BUdR-labeled DNA (Dako). Human cycling cells may be labeled with the Ki67 monoclonal antibody (Dako) against DNA polymerase, or with anti-PCNA against proliferating cell nuclear antigen (PCNA). Although there is generally good agreement between [3H]thymidine and BUdR labeling, Ki67 and PCNA will label more cells, as the antigen is present throughout the cycle and is not restricted to the S-phase. Growth of cells at high density in nonlimiting medium can be achieved by growing the cells in a ﬁlter well, choosing a ﬁlter diameter substantially below that of the dish (e.g., the Corning 8-mm ﬁlter in a 24-well plate), and counting the number of cells in plateau, performing an autoradiograph or immunostaining with Ki67 or anti-PCNA. ",864,834,"In DNA synthesis, cells can be labeled with different markers for detection. Bromodeoxyuridine (BUdR) can be used and detected using an antibody specifically for BUdR-labeled DNA. Ki67 monoclonal antibody against DNA polymerase or anti-PCNA against proliferating cell nuclear antigen can also be used to label cycling cells. Ki67 and PCNA can label more cells compared to BUdR or [3H]thymidine, as they are present throughout the cell cycle and not limited to the S-phase. Growing cells at high density in nonlimiting medium can be achieved using a filter well with a smaller diameter than the dish, and the number of cells can be counted in plateau using autoradiography or immunostaining with Ki67 or anti-PCNA.",713.0
bio.pdf,en,94,Petri Dishes and Multiwell Plates. Petri dishes and multiwell plates are particularly prone to contamination because of the following factors: (1) The larger surface area exposed when the dish is open. (2) The risk of touching the rim of the dish when handling an open dish. (3) The risk of carrying contamination from the work surface to the plate via the lid if the lid is laid down. (4) Medium ﬁlling the gap between the lid and the dish due to capillarity if the dish is tilted or shaken in transit to the incubator. (5) The higher risk of contamination in the humid atmosphere of a CO2 incubator. ,602,760,"Petri dishes and multiwell plates are highly susceptible to contamination due to several factors. These include the larger surface area exposed when the dish is open, the risk of touching the dish's rim during handling, the possibility of contamination transferring from the work surface to the plate via the lid, the medium filling the gap between the lid and the dish due to capillarity when the dish is moved, and the increased risk of contamination in the humid atmosphere of a CO2 incubator. These factors make it necessary to handle these containers carefully to avoid contamination.",589.0
bio.pdf,en,94,"Fig. 5.11. Boxed Dishes. A transparent box, such as a sandwich box or cake box, helps protect unsealed dishes and plates, and ﬂasks with slackened caps, from contamination in a humid incubator. This type of container should also be used for materials that may be biohazardous, to help contain spillage in the event of an accident. (Material known to be biohazardous would need a sealed container and a separate incubator.) (b) If medium still lodges in this space, discard the lid, blot any medium carefully from the outside of the rim with a sterile tissue dampened with 70% alcohol, and replace the lid with a fresh one. (Make sure that the labeling is on the base!) (3) Enclose dishes and plates in a transparent plastic box for incubation, and swab the box with alcohol when it is retrieved from the incubator (Fig. 5.11; see Section 5.7.7). ",846,830,"Fig. 5.11 shows boxed dishes and plates in a transparent box to protect them from contamination in a humid incubator. This container should also be used for biohazardous materials to contain spillage. If medium lodges in the space, discard the lid, remove the medium from the rim, and replace with a fresh lid. Dishes and plates should be enclosed in a plastic box for incubation and swabbed with alcohol when retrieved.",420.0
bio.pdf,en,94,"1. Place dish or plate on one side of work area. 2. Position medium bottle and slacken the cap. 3. Bring dish to center of work area. 4. Remove bottle cap and ﬁll pipette from bottle. 5. Remove lid from dish. 6. Add medium to dish, directing the stream gently low down on the side of the base of the dish. 7. Replace lid. 8. Return dish to side of hood, taking care not to let the medium enter the capillary space between the lid and the base. 9. Discard pipette. 10. Tighten cap on medium bottle. 11. Remove from the work surface all solutions and materials no longer required, and swab down the work surface. ",611,782,"Here are the steps to follow for preparing a dish with medium:

1. Place a dish or plate on one side of the work area.
2. Position a medium bottle and loosen the cap.
3. Bring the dish to the center of the work area.
4. Remove the bottle cap and fill a pipette from the bottle.
5. Remove the lid from the dish.
6. Add the medium to the dish, gently directing the stream low down on the side of the base.
7. Replace the lid on the dish.
8. Return the dish to the side of the hood, being careful not to let the medium enter the capillary space between the lid and the base.
9. Discard the pipette.
10. Tighten the cap on the medium bottle.
11. Remove any solutions and materials no longer needed from the work surface and clean the surface.",738.0
bio.pdf,en,492,"Observations and Record (1) Look for differences in growth pattern, cell density, and morphology in related cultures (Table 28.2). Are there differences from archival photographs that suggest deterioration, alteration of the cells (transformation, heterogeneity, misidentiﬁcation or cross-contamination)? (2) Assess health status of cells. (3) Is there any sign of contamination? (4) Are cells ready for feeding (see Section 12.3.2) or passage (see Section 12.4.1)? (5) Make a numerical estimate of cell density by calculating the area of the 20× objective ﬁeld and counting the number of cells per ﬁeld. This will be easiest if a digital camera and monitor are used where the screen can be overlaid with cling ﬁlm and each cell ticked with a ﬁne felt-tipped marker. Practice will make this ‘‘guesstimate’’ of cell density easier. It becomes critically important if you are unable to carry out a cell count by other means at this stage (see Section 12.4.3). (6) Try to identify and count mitotic cells in these high- power ﬁelds. ",1030,873,"The observations and record involve several steps: 
1. Look for differences in growth pattern, cell density, and morphology in related cultures compared to archival photographs to identify any deterioration, alteration, misidentification, or cross-contamination.
2. Assess the health status of cells. 
3. Check for signs of contamination. 
4. Determine if cells are ready for feeding or passage. 
5. Estimate cell density by calculating the area of the 20x objective field and counting the number of cells per field. This can be done using a digital camera and monitor with cling film overlay and marking cells with a felt-tipped marker. 
6. Attempt to identify and count mitotic cells in high-power fields.",707.0
hist.pdf,en,370,"Zimbabwe, Kilwa Kisiwani became one of the  most prosperous of the Swahili city-states. From 1000 to 1500 CE, Swahili city-states were  wealthy urban areas connected both to the African interior and the larger Indian Ocean World.  Dozens of Swahili city-states running down the East African coast from Mogadishu to Sofala, and  including islands off the coast, were commercial centers, tied together by a shared identity, not an  overarching political structure. In addition to Islam and claims to Persian ancestry, Swahili identity  also became associated with Indian Ocean trade, an urban style, and a shared language (Swahili). ",631,765,"During the period from 1000 to 1500 CE, Kilwa Kisiwani in Zimbabwe emerged as one of the most prosperous Swahili city-states in East Africa. These city-states, including islands off the coast, were centers of trade and wealth, connected both to the African interior and the larger Indian Ocean World. Despite the absence of a centralized political structure, they were united by a shared identity characterized by Islam, claims to Persian ancestry, Indian Ocean trade, an urban lifestyle, and the use of the Swahili language.",525.0
hist.pdf,en,248,"Republic as well as the lengths to which some Roman politicians were willing to go to get power  and hold on to it. Furthermore, it demonstrated one dangerous side effect of Marius’ military  reforms: before Marius, Roman farmer-soldiers did not feel a personal affinity for their generals.  After Marius’ reforms, however, because soldiers were paid by their generals, their loyalty was  to their generals, as much or more than to the Roman state. Finally, Marius’ incredible political  success—election to a record-setting and law-breaking seven consulships over the course of his  life—showed that military ability had somewhat leveled the playing field between old patrician  families such as Sulla’s—that had dominated the consulship for centuries—and the newcomers  to Roman politics. This challenge by the newcomers to the old Roman political families was an  especially bitter pill to swallow for some.  ",912,807,"The text discusses the Roman Republic and the lengths politicians went to gain and maintain power. It highlights the impact of Marius' military reforms, which created a personal affinity between soldiers and their generals. This loyalty to generals challenged the old patrician families that had traditionally dominated politics. Marius' political success, including being elected consul seven times, demonstrated a leveling of the playing field between old and new political families. This challenge was difficult for some to accept.",534.0
hist.pdf,en,403,"The earliest recognizable civilizations in the Americas were in Mesoamerica and began during the  Archaic period, ten thousand years ago. Farmers in Mesoamerica began to cultivate crops such  as corn, squash, beans, chilies, manioc, and sweet potatoes. During Mesoamerica’s more recent  Formative Period, the rise of the Olmec Civilization occurred. They would be followed by several  others, most notably the Maya, and further to the north the Aztec Empire that was at its height  when the Spanish arrived in 1519.  ",517,740,"The earliest civilizations in the Americas can be traced back to Mesoamerica during the Archaic period, around ten thousand years ago. These civilizations were known for their agricultural practices, cultivating crops like corn, squash, beans, chilies, manioc, and sweet potatoes. The Olmec Civilization emerged during the Formative Period, followed by other civilizations such as the Maya. To the north, the Aztec Empire was thriving when the Spanish arrived in 1519.",468.0
